,,,,,,,,,,,,
,,,,,,,,,,,,
Personas Certificadas Instituciones Educación para el Trabajo y el Desarrollo Humano,,,,,,,,,,,,
2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
 -   , 12 , 2 , 13 , 51 , 359 , 328 , 518 , 545 , 562 , 344 , 222 ,
 -   , 1 , -   , 4 , 5 , 185 , 136 , 206 , 95 , 65 , 21 , 59 ,
 -   , 11 , 2 , 9 , 46 , 174 , 192 , 312 , 450 , 497 , 323 , 163 ,
" 3,120 "," 2,643 "," 2,269 "," 3,731 "," 5,299 "," 6,208 "," 6,285 "," 8,553 "," 7,216 "," 5,512 "," 2,352 "," 1,391 ",
 251 , 581 , 557 , 851 ," 1,357 "," 1,464 "," 1,036 "," 2,149 "," 1,103 ", 609 , 206 , 83 ,
 195 , 374 , 186 , 686 , 838 , 929 ," 1,246 ", 834 ," 1,428 ", 963 , 190 , 87 ,
" 2,674 "," 1,657 "," 1,397 "," 2,128 "," 2,850 "," 3,680 "," 3,863 "," 5,381 "," 4,440 "," 3,827 "," 1,905 "," 1,130 ",
 -   , 31 , 129 , 66 , 254 , 135 , 140 , 189 , 245 , 113 , 51 , 91 ,
" 1,528 "," 1,508 "," 1,704 "," 2,442 "," 2,047 "," 4,174 "," 4,061 "," 4,486 "," 5,339 "," 6,647 "," 4,531 "," 4,910 ",
 256 , 172 , 351 , 482 , 292 ," 1,014 ", 894 , 772 ," 1,168 "," 1,546 "," 1,250 ", 985 ,
 14 , 10 , 27 , 58 , 31 , 76 , 122 , 304 , 226 , 679 , 176 , 405 ,
 70 , 146 , 227 , 231 , 549 , 493 , 771 , 838 ," 1,040 ", 643 , 607 , 441 ,
 111 , 233 , 175 , 692 , 41 , 128 , 360 , 676 , 405 , 524 , 196 , 396 ,
 340 , 428 , 411 , 333 , 321 , 401 , 523 , 473 , 548 , 530 , 247 , 372 ,
 211 , 139 , 82 , 90 , 116 ," 1,255 ", 301 , 357 , 338 , 579 , 202 , 412 ,
 -   , -   , -   , 25 , 7 , 29 , 27 , 60 , 70 , 29 , 24 , 4 ,
 365 , 256 , 334 , 413 , 362 , 590 , 591 , 529 , 497 ," 1,456 "," 1,512 "," 1,363 ",
 161 , 124 , 97 , 118 , 328 , 188 , 472 , 477 ," 1,047 ", 661 , 317 , 532 ,
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 13 , 37 , 160 , 155 , 96 , 41 , 51 , 121 , 177 , 137 , 51 , 22 ,
 13 , 37 , 160 , 155 , 96 , 41 , 51 , 121 , 177 , 137 , 51 , 22 ,
" 1,671 "," 1,974 "," 1,719 "," 1,780 "," 2,289 "," 3,017 "," 2,771 "," 3,362 "," 2,987 "," 2,672 "," 1,513 "," 1,978 ",
 -   , 50 , 55 , 140 , 620 , 519 , 400 , 423 , 335 , 359 , 265 , 345 ,
" 1,539 "," 1,609 "," 1,433 "," 1,348 "," 1,354 "," 1,952 "," 1,687 "," 1,831 "," 1,767 "," 1,374 ", 982 ," 1,408 ",
 132 , 315 , 231 , 292 , 315 , 546 , 684 ," 1,108 ", 885 , 939 , 266 , 225 ,
 41 , 253 , 396 , 403 , 773 , 889 , 900 , 807 , 731 , 477 , 347 , 106 ,
 41 , 18 , -   , 14 , 152 , 166 , 110 , 203 , 175 , 131 , 118 , 42 ,
 -   , -   , -   , 2 , 193 , 213 , 179 , 226 , 89 , 53 , 9 , 21 ,
 -   , 235 , 396 , 387 , 417 , 495 , 611 , 378 , 467 , 264 , 220 , 43 ,
 -   , -   , -   , -   , 11 , 15 , -   , -   , -   , 29 , -   , -   ,
